id,tw_member?,fb_member?,tw_follower?,fb_follower?
danstepanov,False,False,False,True
dope,False,False,True,False
shemissou,False,False,True,False
NicolajKN,False,False,True,False
nathanmarz,False,False,True,False
Adiydv,False,False,False,True
iqbalnurhakim,False,False,False,True
karenuji,False,False,True,False
ivanovyordan,False,False,True,True
wangjiafan,False,False,True,False
bruno12mota,False,False,False,True
johnknaack,False,False,False,True
cobject,False,False,False,True
HieuLsw,False,False,False,True
AnnaBlackwell,False,False,False,True
nicetag,False,False,True,False
nelsonkuang,False,False,True,False
vc0097111,False,False,False,True
shaundon,False,False,True,True
dwestheide,False,False,True,False
CatTail,False,False,False,True
briandiephuis,False,False,False,True
johnnycannuk,False,False,False,True
jackbush,False,False,True,False
darkmage,False,False,False,True
james075,False,False,True,True
cihann,False,False,True,False
hvaltchev,False,False,True,True
playchao,False,False,False,True
AmaxJ,False,False,False,True
gmanricks,False,False,False,True
wssand44,False,False,False,True
YissacharB,False,False,False,True
dmrd,False,False,False,True
huhuvipi,False,False,False,True
fnavarrov,False,False,True,False
bmcculley,False,False,False,True
lorenz068,False,False,True,False
robbyedwards,False,False,True,False
tugdev,False,False,False,True
boerhani,False,False,False,True
JoMeuwis,False,False,False,True
ryross,False,False,False,True
rehno-lindeque,False,False,True,False
bluenex,False,False,True,False
Laranjadinho,False,False,False,True
mattbark,False,False,False,True
beckgom,False,False,False,True
dazunE,False,False,True,False
JamieWhite,False,False,False,True
shanxiliyong,False,False,True,False
mallyvai,False,False,True,False
bongster,False,False,False,True
izissise,False,False,False,True
VisionOfTommorrow,False,False,True,False
bgshih,False,False,False,True
dustinboston,False,False,True,False
dennisdag,False,False,True,False
camdenfullmer,False,False,False,True
bearofbear,False,False,True,True
8legged,False,False,True,False
yeahwangy,False,False,False,True
porjolovsky,False,False,True,False
saturnast,False,False,True,False
pinknoise,False,False,True,False
youreddy,False,False,False,True
mesutbeyaztas,False,False,False,True
JamesHealey94,False,False,True,True
MindMac,False,False,True,False
taveras,False,False,True,False
aaronabentheuer,False,False,True,False
deathwish,False,False,False,True
DanielTomlinson,False,False,False,True
optmist2309,False,False,False,True
DJHartley,False,False,True,True
eirikeikaas,False,False,False,True
cannycophp,False,False,False,True
Oscarteg,False,False,True,False
wangyingbo,False,False,False,True
pokeball99,False,False,True,False
johnnycakes,False,False,False,True
kz777,False,False,False,True
superoak,False,False,True,False
jhulick,False,False,False,True
rafszul,False,False,True,False
tayfunerbilen,False,False,True,False
colorzhang,False,False,True,False
sriiniivas,False,False,True,False
Ollie-H,False,False,False,True
ctalbot1,False,False,False,True
pastysheen,False,False,True,False
MarioHofer,False,False,True,False
Packetfahrer,False,False,False,True
samertm,False,False,False,True
kingcodexl,False,False,True,True
isellsoap,False,False,True,False
fkoner,False,False,False,True
maheshchandra,False,False,True,False
thyrlian,False,False,True,False
Lohoris,False,False,False,True
binzhikuwen,False,False,True,False
mtayseer,False,False,False,True
tsudot,False,False,True,False
Qusic,False,False,False,True
fabiofolgori,False,False,False,True
cuijianzhi,False,False,False,True
mknutsen,False,False,False,True
beatfreaker,False,False,True,True
dc1014,False,False,False,True
ebeal,False,False,False,True
premasagar,False,False,True,False
Hermanya,False,False,False,True
sterlingwes,False,False,False,True
innovalonia,False,False,False,True
ShakerZaki,False,False,True,False
daniellmb,False,False,True,True
ForrestAlfred,False,False,True,True
reergymerej,False,False,False,True
gunC,False,False,False,True
yinquan529,False,False,True,False
opNR,False,False,True,False
hexufo,False,False,False,True
robert-wallis,False,False,True,False
wkinney,False,False,True,False
marciniwanicki,False,False,True,True
alexchenzl,False,False,True,False
ParkWoocheol,False,False,False,True
jimschubert,False,False,False,True
Sabirjan,False,False,True,True
modocache,False,True,True,True
juanescalona,False,False,False,True
sean1rose,False,False,False,True
tommelo,False,False,False,True
ejcaruso,False,False,False,True
yanivtal,False,False,False,True
dennisporterjr,False,False,False,True
LiXiangYu,False,False,True,True
divinedavis,False,False,False,True
tormorOoO,False,False,False,True
vin4enso,False,False,False,True
Furina,False,False,True,False
jiripudil,False,False,False,True
